,model,best_params,train_score,test_score
0,cvec + logreg,"{'cvec__max_df': 0.4, 'cvec__max_features': 1000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 3), 'logreg__C': 0.1}",0.9717514124293786,0.8873239436619719
1,tvec + logreg,"{'logreg__C': 1, 'tvec__max_df': 0.4, 'tvec__max_features': 2000, 'tvec__min_df': 3, 'tvec__ngram_range': (1, 3)}",0.972693032015066,0.9070422535211268
2,cvec + multi_nb,"{'cvec__max_df': 0.2, 'cvec__max_features': 2000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 3), 'nb__alpha': 1}",0.9500941619585688,0.9126760563380282
3,tvec + multi_nb,"{'nb__alpha': 1, 'tvec__max_df': 0.2, 'tvec__max_features': 2000, 'tvec__min_df': 2, 'tvec__ngram_range': (1, 3)}",0.9500941619585688,0.9126760563380282
4,cvec + rf,"{'cvec__max_df': 0.6, 'cvec__max_features': 1000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 3), 'rf__max_depth': 4, 'rf__n_estimators': 100}",0.884180790960452,0.8366197183098592
5,cvec + ada,"{'ada__n_estimators': 100, 'cvec__max_df': 0.6, 'cvec__max_features': 1000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.9717514124293786,0.8507042253521127
6,cvec + xgc,"{'cvec__max_df': 0.4, 'cvec__max_features': 500, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2), 'xgc__alpha': 1, 'xgc__gamma': 10, 'xgc__learning_rate': 0.1, 'xgc__max_depth': 3, 'xgc__n_estimators': 50}",0.8738229755178908,0.8112676056338028
7,tvec + xgc,"{'tvec__max_df': 0.4, 'tvec__max_features': 500, 'tvec__min_df': 2, 'tvec__ngram_range': (1, 2), 'xgc__alpha': 1, 'xgc__gamma': 10, 'xgc__learning_rate': 0.1, 'xgc__max_depth': 3, 'xgc__n_estimators': 50}",0.8738229755178908,0.8112676056338028
